Event,Waveform,chirp_mass,mass_1_source,mass_2_source,luminosity_distance,redshift,ra,dec,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,network_matched_filter_snr
GW191216_213338,C01:IMRPhenomXPHM,8.93836,13.33432,7.34248,339.74161,0.07281,5.55101,0.37558,0.30608,0.45235,1.02467,1.31435,3.16016,3.25717,2.54046,1.48309,2.75223,18.55061
GW191113_071753,C01:IMRPhenomXPHM,13.57346,27.6951,6.37042,1557.22016,0.28912,3.01298,-0.27452,0.28956,0.49194,1.53004,1.55297,3.16087,3.10595,1.66423,1.63697,3.40657,7.62784
GW191113_071753,C01:IMRPhenomXPHM,13.57346,27.6951,6.37042,1557.22016,0.28912,3.01298,-0.27452,0.28956,0.49194,1.53004,1.55297,3.16087,3.10595,1.66423,1.63697,3.40657,7.62784
GW191113_071753,C01:IMRPhenomXPHM,13.57346,27.6951,6.37042,1557.22016,0.28912,3.01298,-0.27452,0.28956,0.49194,1.53004,1.55297,3.16087,3.10595,1.66423,1.63697,3.40657,7.62784
GW200224_222234,C01:IMRPhenomXPHM,40.7527,40.49046,31.5145,1735.81511,0.321,3.04539,-0.15833,0.4977,0.4594,1.23153,1.53394,3.16995,3.25753,0.64727,1.75411,2.99004,19.93542
GW200224_222234,C01:IMRPhenomXPHM,40.7527,40.49046,31.5145,1735.81511,0.321,3.04539,-0.15833,0.4977,0.4594,1.23153,1.53394,3.16995,3.25753,0.64727,1.75411,2.99004,19.93542
GW200224_222234,C01:IMRPhenomXPHM,40.7527,40.49046,31.5145,1735.81511,0.321,3.04539,-0.15833,0.4977,0.4594,1.23153,1.53394,3.16995,3.25753,0.64727,1.75411,2.99004,19.93542
GW191126_115259,C01:IMRPhenomXPHM,11.28653,12.63671,7.9776,1763.85159,0.32478,3.54318,0.14372,0.4698,0.49567,1.0098,1.20155,3.15033,3.1396,1.60992,1.56176,3.122,8.25643
GW191126_115259,C01:IMRPhenomXPHM,11.28653,12.63671,7.9776,1763.85159,0.32478,3.54318,0.14372,0.4698,0.49567,1.0098,1.20155,3.15033,3.1396,1.60992,1.56176,3.122,8.25643
GW191126_115259,C01:IMRPhenomXPHM,11.28653,12.63671,7.9776,1763.85159,0.32478,3.54318,0.14372,0.4698,0.49567,1.0098,1.20155,3.15033,3.1396,1.60992,1.56176,3.122,8.25643
GW200322_091133,C01:IMRPhenomXPHM,72.80527,95.7867,14.99172,15611.17468,1.94147,2.88669,0.06328,0.53384,0.50488,1.45378,1.52263,3.16737,3.11108,1.60094,1.56678,3.17243,
GW200322_091133,C01:IMRPhenomXPHM,72.80527,95.7867,14.99172,15611.17468,1.94147,2.88669,0.06328,0.53384,0.50488,1.45378,1.52263,3.16737,3.11108,1.60094,1.56678,3.17243,
GW200322_091133,C01:IMRPhenomXPHM,72.80527,95.7867,14.99172,15611.17468,1.94147,2.88669,0.06328,0.53384,0.50488,1.45378,1.52263,3.16737,3.11108,1.60094,1.56678,3.17243,
GW191204_110529,C01:IMRPhenomXPHM,26.58832,27.43994,18.12301,2390.00847,0.41681,3.36733,0.02299,0.45032,0.47891,1.43524,1.54269,3.15583,3.19714,1.58389,1.57516,2.86969,8.75458
GW191204_110529,C01:IMRPhenomXPHM,26.58832,27.43994,18.12301,2390.00847,0.41681,3.36733,0.02299,0.45032,0.47891,1.43524,1.54269,3.15583,3.19714,1.58389,1.57516,2.86969,8.75458
GW191204_110529,C01:IMRPhenomXPHM,26.58832,27.43994,18.12301,2390.00847,0.41681,3.36733,0.02299,0.45032,0.47891,1.43524,1.54269,3.15583,3.19714,1.58389,1.57516,2.86969,8.75458
GW200129_065458,C01:IMRPhenomXPHM,31.74534,37.76876,25.67524,952.1098,0.1893,5.54636,0.11521,0.72273,0.56223,1.43431,1.35292,3.22969,1.97169,0.57045,1.35766,3.68289,26.79126
GW200129_065458,C01:IMRPhenomXPHM,31.74534,37.76876,25.67524,952.1098,0.1893,5.54636,0.11521,0.72273,0.56223,1.43431,1.35292,3.22969,1.97169,0.57045,1.35766,3.68289,26.79126
GW200129_065458,C01:IMRPhenomXPHM,31.74534,37.76876,25.67524,952.1098,0.1893,5.54636,0.11521,0.72273,0.56223,1.43431,1.35292,3.22969,1.97169,0.57045,1.35766,3.68289,26.79126
GW191129_134029,C01:IMRPhenomXPHM,8.48105,11.27869,6.55886,787.34495,0.15926,4.52523,-0.35255,0.28698,0.42758,1.30169,1.30383,3.14516,3.16079,1.63855,1.49663,3.37815,13.12895
GW191129_134029,C01:IMRPhenomXPHM,8.48105,11.27869,6.55886,787.34495,0.15926,4.52523,-0.35255,0.28698,0.42758,1.30169,1.30383,3.14516,3.16079,1.63855,1.49663,3.37815,13.12895
GW191129_134029,C01:IMRPhenomXPHM,8.48105,11.27869,6.55886,787.34495,0.15926,4.52523,-0.35255,0.28698,0.42758,1.30169,1.30383,3.14516,3.16079,1.63855,1.49663,3.37815,13.12895
GW191222_033537,C01:IMRPhenomXPHM,51.17016,44.56995,33.09039,3347.26399,0.55589,3.23242,-0.42465,0.39552,0.43853,1.69277,1.65628,3.12059,3.17332,1.59958,1.46403,3.22342,12.44885
GW191222_033537,C01:IMRPhenomXPHM,51.17016,44.56995,33.09039,3347.26399,0.55589,3.23242,-0.42465,0.39552,0.43853,1.69277,1.65628,3.12059,3.17332,1.59958,1.46403,3.22342,12.44885
GW191222_033537,C01:IMRPhenomXPHM,51.17016,44.56995,33.09039,3347.26399,0.55589,3.23242,-0.42465,0.39552,0.43853,1.69277,1.65628,3.12059,3.17332,1.59958,1.46403,3.22342,12.44885
GW191230_180458,C01:IMRPhenomXPHM,62.25935,48.60843,35.46447,4858.19047,0.75716,1.67931,-0.50249,0.50972,0.49517,1.62148,1.70362,3.14048,3.28745,1.83307,1.48877,3.1134,10.39833
GW191230_180458,C01:IMRPhenomXPHM,62.25935,48.60843,35.46447,4858.19047,0.75716,1.67931,-0.50249,0.50972,0.49517,1.62148,1.70362,3.14048,3.28745,1.83307,1.48877,3.1134,10.39833
GW191230_180458,C01:IMRPhenomXPHM,62.25935,48.60843,35.46447,4858.19047,0.75716,1.67931,-0.50249,0.50972,0.49517,1.62148,1.70362,3.14048,3.28745,1.83307,1.48877,3.1134,10.39833
GW200308_173609,C01:IMRPhenomXPHM,125.7138,95.83047,29.37257,17327.66333,2.11348,3.33975,-0.03224,0.55018,0.50242,1.40115,1.51796,3.14574,3.14664,1.54736,1.56591,2.97671,3.53682
GW200308_173609,C01:IMRPhenomXPHM,125.7138,95.83047,29.37257,17327.66333,2.11348,3.33975,-0.03224,0.55018,0.50242,1.40115,1.51796,3.14574,3.14664,1.54736,1.56591,2.97671,3.53682
GW200308_173609,C01:IMRPhenomXPHM,125.7138,95.83047,29.37257,17327.66333,2.11348,3.33975,-0.03224,0.55018,0.50242,1.40115,1.51796,3.14574,3.14664,1.54736,1.56591,2.97671,3.53682
GW191105_143521,C01:IMRPhenomXPHM,9.57136,11.2938,7.35915,1191.46494,0.23091,1.94833,-0.21666,0.31374,0.41236,1.57896,1.60425,3.15012,3.15588,1.44335,1.54381,3.13161,9.61624
GW191105_143521,C01:IMRPhenomXPHM,9.57136,11.2938,7.35915,1191.46494,0.23091,1.94833,-0.21666,0.31374,0.41236,1.57896,1.60425,3.15012,3.15588,1.44335,1.54381,3.13161,9.61624
